post_id,title,category,score,num_comments,author,collected_at
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,137,20,MediaSquirrel,2026-04-08 09:22:56
47645025,Show HN: Contrapunk – Real-time counterpoint harmony from guitar input,entertainment,118,54,waveywaves,2026-04-08 09:22:56
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,115,22,frasermarlow,2026-04-08 09:22:56
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,114,66,rdme,2026-04-08 09:22:56
47637828,Show HN: Tusk for macOS and Gnome,entertainment,110,38,factorialboy,2026-04-08 09:22:56
47641615,Sopwith – 1984 Game (2000),entertainment,98,42,elvis70,2026-04-08 09:22:56
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,96,27,noone_youknow,2026-04-08 09:22:56
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,83,9,lexalizer,2026-04-08 09:22:56
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,79,4,nemoniac,2026-04-08 09:22:56
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,77,30,1659447091,2026-04-08 09:22:56
